1	218149	1398552
1	1398602	2449929
1	12525972	13000896
1	24860397	26003507
1	26421768	28617711
1	30451892	31574267
1	38492030	42902754
1	43132046	43825046
1	48041821	48952432
1	53666809	56678163
1	57067740	57890588
1	60284671	61376959
1	61646362	62065556
1	62065602	62535400
1	62535410	63070242
1	63070257	63733597
1	64986741	66156388
1	66156389	67827443
1	68689156	70096251
1	70670730	71548123
1	71548164	72794728
1	73602878	74555780
1	74989139	75662249
1	76332157	78889901
1	82918066	83659426
1	86787923	89123881
1	95741467	97122507
1	99082580	99962583
1	100404633	103107851
1	103107932	103915213
1	103915261	104547718
1	108030154	108417390
1	110293526	111033918
1	117146578	120388266
1	120388374	121261101
1	121362388	121965563
1	122072037	123892578
1	133259376	133787955
1	144047688	144798182
1	147211965	150236413
1	150523935	150996000
1	169790303	170008328
1	172293943	172616280
1	173392195	173895789
1	179970717	184682703
1	195121786	195537229
1	195656725	196755125
1	201665671	202159697
1	203274853	204371872
1	212505551	212911201
1	223170616	223723084
1	223723106	225333335
1	225661953	226970470
1	229532420	230312973
1	258537994	259246514
1	278396721	278965186
2	54663	3071388
2	4864334	6012657
2	21033250	21893691
2	28846713	29359012
2	37932657	38505504
2	49363148	49854831
2	52655693	53147930
2	86956935	87482757
2	88690459	89248282
2	90491873	91154779
2	92316756	92631279
2	122201212	122748791
2	127970362	128639543
2	128824041	130684967
2	132261923	132946003
2	132946064	133837634
2	137276153	137855952
2	147015973	147570193
2	154864492	155913013
2	156056398	157694183
2	158966177	164591790
2	165432661	165900266
2	190255380	192704791
2	194217779	196257113
2	196764336	198552441
2	200940391	201360775
2	208883548	209197771
2	209197772	209617554
2	216366250	216904976
2	223040220	223549977
2	234680727	235033697
2	248414205	248604986
3	1076372	2556962
3	5411168	6802085
3	17007702	17345916
3	17881225	18410122
3	18410124	19023475
3	19064967	19263726
3	19263727	19743821
3	20530510	20703364
3	20703499	21134989
3	21384328	22822769
3	30834646	31430123
3	52251081	52646295
3	64992550	65632555
3	75114571	75869198
3	76036647	76343412
3	78266569	78965431
3	96557731	97829273
3	103805599	104912154
3	114362920	115131556
3	133484419	134955060
3	143742147	144665410
3	145343906	146102696
3	146104165	147095552
3	147095847	148676060
3	167216572	168468843
3	173085684	174409976
3	176066837	177285056
4	3494425	4568486
4	9273821	9771879
4	13635072	14844324
4	17913033	18280790
4	28310130	29125346
4	31991540	33212144
4	47151240	47561162
4	68905980	69334349
4	72999214	73594972
4	85139888	85729974
4	90276679	90852889
4	93786791	94623180
4	116894049	117935261
4	133807533	134247543
4	146609062	147458602
4	155052879	155742632
4	161364859	162270256
4	162747484	163234117
4	164134493	166211110
4	166441700	167240160
5	111162	1432434
5	1799136	2983712
5	24811474	25793526
5	45497380	46212289
5	51925970	52650940
5	52729322	53721090
5	57835547	58771025
5	69199172	69955714
5	77247355	78799347
5	87347520	87705582
5	107524340	108114371
5	111012934	111333768
5	111630129	111993283
5	120964221	122335230
5	132698586	133353131
5	134180181	135564874
5	136757003	137592644
5	137971365	138869478
5	163854200	165397258
6	17112806	18493836
6	19248737	19892825
6	30447555	32839435
6	103762101	104654732
6	111536145	112382548
6	125373562	126125897
6	128132485	128848101
6	133792206	135307352
6	138163059	140590377
6	140644400	140774749
6	141012064	141126627
6	141218997	141305962
6	141305970	141828320
6	142792828	143021810
6	143021817	144620669
7	280920	3372399
7	3817261	8501203
7	8501220	10013892
7	10013901	11563370
7	13162678	13274793
7	13670685	14053504
7	15619091	17563155
7	18012651	18913567
7	18913731	19600972
7	19601621	23996839
7	34497133	35014189
7	58118585	58949595
7	64397472	64801408
7	65807660	66312063
7	88127912	88596555
7	99251753	100544549
7	100545298	101038662
7	116379832	117552750
7	118841908	119835005
7	143372780	144061446
8	224221	1178822
8	4328556	5068241
8	11214859	12547944
8	15771405	16261096
8	17757503	18309270
8	18309562	18889191
8	21399147	22573790
8	34787269	35296800
8	37684925	39228203
8	40858407	43936602
8	44806035	45271641
8	69551359	71059611
8	85805153	86305705
8	126900464	127527699
8	131549787	132069703
9	923647	1412185
9	1412187	2500186
9	4091453	5433356
9	5730326	6004705
9	7450806	8025956
9	8280268	9505280
9	11499863	13046970
9	15282338	15771545
9	40529098	41076542
9	83330688	84863210
9	105934496	107193650
9	108789626	109250060
9	113984849	115000215
9	117416894	118145736
10	315015	1735019
10	12252274	12616147
10	26070129	26376940
10	31877643	32286924
10	34790266	35298535
10	44164495	44431016
10	44844200	45548775
10	56142505	57024107
10	60109462	60645393
10	61241070	62218527
10	71141730	71834907
10	84943150	85552387
10	87626155	88055564
10	89996230	90553016
10	92888433	93162021
10	103498073	104269407
10	104997112	105714352
11	38034387	38486912
11	38599407	40409119
11	43281645	43775868
11	43978728	44465571
11	45988200	46676877
11	48107115	48443172
11	56563362	57377589
11	57613220	58341107
11	60329349	61132691
11	67491832	68100460
11	81429278	82283199
11	85454330	85617840
11	89782712	90274745
12	50936	1222894
12	1864734	2282247
12	2942606	4752874
12	4752877	5841529
12	10598474	11262479
12	18543312	19198303
12	19396019	22486235
12	31101190	31511694
12	35026644	36672267
12	41266443	41574732
12	49212029	50000805
13	13175497	13714176
13	22673203	22910106
13	33481550	34758800
13	89490629	89931887
13	89983060	90644819
13	91367415	91811916
14	480106	1012524
14	1012992	1203971
14	1451545	2038202
14	5604961	6061394
14	6061398	6530271
14	6654855	6850290
14	15440525	16617356
14	21505794	22060791
14	22060846	22409003
14	22598728	22817168
14	22977385	23334817
14	40633914	41055315
14	46800767	47703619
14	47955121	49696590
14	52239146	52727194
14	92684316	93509434
14	94271364	97912092
14	98678319	99268076
14	101492036	102587844
14	106509104	107006604
14	113559595	114164276
15	55148	699775
15	4983105	6507056
15	18082415	18611878
15	19168712	19749842
15	21166651	23800432
15	26927880	27685041
15	27685296	28377512
15	28856129	29208453
15	29208483	32598575
15	34621890	38906451
15	39751260	40337438
15	49871175	51289340
15	71077606	71478089
15	107161884	108616420
16	49950	1602923
16	12171109	13094260
16	13094892	13405972
16	15273073	15837478
16	19959702	20271634
16	21755535	22557673
16	29817113	32530042
16	37771256	40143368
16	56129640	56997251
16	64930112	65316276
16	66324204	66735693
16	68645712	68962106
16	75003578	75444526
16	75444531	75622676
17	65659	1799288
17	2928381	4901833
17	11794249	12432019
17	12605101	12931609
17	14374096	15963509
17	31816403	32770638
17	33082171	34854244
17	38511069	38933701
17	39712325	40495389
17	41590265	42398455
17	42829450	43794333
17	44198978	45446260
17	45446261	46395682
17	47826723	49787934
17	54583735	55221820
17	57702990	58500366
17	62872641	64014360
17	69716388	70151804
17	71892459	72472708
17	86855748	87198613
17	89394291	90585104
18	447384	1214178
18	29898202	30397814
18	30744094	31349159
18	38447465	39131941
18	55607789	56140592
19	149497	1241375
19	15078908	15615129
19	26298648	29826880
19	36099591	37033405
19	60128147	60706498
20	138195	378451
20	379153	793502
20	793506	1173328
20	1173334	1592313
20	1647618	1881701
20	2578969	3289884
20	3290130	3646892
20	4634216	5083541
20	5343011	5671544
20	11660489	11968393
20	27511021	28566354
20	40842693	41508224
